GROUP;Species;Genera;Cluster;aph_class;bph_class;ini_class;Strain;Culture collection;Isolated;SIZE (um);Irradiance (uEm-2s-1);Reference;Figure;Symbol;Page;File;NOTES;FLAG_1;FLAG_2;CODE;300;306.25;312.5;318.75;325;331.25;337.5;343.75;350;356.25;362.5;368.75;375;381.25;387.5;393.75;400;406.25;412.5;418.75;425;431.25;437.5;443.75;450;456.25;462.5;468.75;475;481.25;487.5;493.75;500;506.25;512.5;518.75;525;531.25;537.5;543.75;550;556.25;562.5;568.75;575;581.25;587.5;593.75;600;606.25;612.5;618.75;625;631.25;637.5;643.75;650;656.25;662.5;668.75;675;681.25;687.5;693.75;700;706.25;712.5;718.75;725;731.25;737.5;743.75;750;756.25;762.5;768.75;775;781.25;787.5;793.75;800
CYANO 2;Synechocystis sp.;Synechocystis;4;Syn/Anacystis;Syn/Anacystis;Syn/Anacystis;NA;Laboratoire Arago (Banyuls);NA;1.39;100;Ahn 1992;7a;Scy;1848;Ahn_1992_Fig7a;NA;0;0;Scy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.060015564;0.064657588;0.069793774;0.075690661;0.080370548;0.08335214;0.084490272;0.081203113;0.076225681;0.071171206;0.06747294;0.062483198;0.057875486;0.053671484;0.052949416;0.050140856;0.046953008;0.041120922;0.033793774;0.025820039;0.01859982;0.016266986;0.013391051;0.011746109;0.011322957;0.010897418;0.010856031;0.011306096;0.011673152;0.012169909;0.013422002;0.013692607;0.014081413;0.015997082;0.018037354;0.01962607;0.020156349;0.019973874;0.019733185;0.017611451;0.015509728;0.015088521;0.019937743;0.022103947;0.024375663;0.023536965;0.017422179;0.01139618;0.008287938;0.0057607;0.004041245;0.003449947;0.002516732;0.002113674;0.001578794;0.00113716;0.00145214;NA;NA;NA;NA;NA;NA;NA;NA
CYANO 2;Anacystis marina;Anacystis;4;Syn/Anacystis;Syn/Anacystis;Syn/Anacystis;NA;Station Marine d'Endoume (Marseilles);NA;1.43;100;Ahn 1992;7a;A;1848;Ahn_1992_Fig7a;NA;0;0;A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.066591086;0.072041305;0.075929362;0.078908383;0.080941634;0.08081323;0.078285992;0.071301733;0.065652724;0.060064851;0.056497157;0.051805447;0.04847011;0.047202335;0.046359922;0.043642731;0.037050584;0.032614786;0.025064379;0.018846693;0.016487938;0.016435798;0.015992218;0.015992218;0.015525292;0.015525292;0.016346657;0.017668907;0.018651574;0.019281712;0.020766537;0.021932954;0.023287938;0.024481293;0.026562257;0.027198444;0.027932954;0.02560012;0.022892112;0.020933145;0.018507782;0.019363424;0.022741422;0.022447471;0.019427043;0.016970428;0.011619974;0.006607004;0.004422329;0.002066148;0.00112179;0.001412451;0.00151751;0.000796368;0.000925097;0.001373187;NA;NA;NA;NA;NA;NA;NA;NA
HAPTO 6;Emiliania huxleyi;Emiliania;19;Emiliania;Emiliania;P2;NA;Station Marine d'Endoume (Marseilles);NA;4.93;100;Ahn 1992;7a;E;1848;Ahn_1992_Fig7a;NA;0;0;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.037772523;0.040105358;0.041978776;0.043753891;0.045478599;0.046561701;0.047978988;0.048210117;0.047276265;0.046357269;0.04669761;0.046460311;0.045954864;0.042776795;0.036568093;0.031963212;0.029392996;0.026499027;0.023657588;0.020643969;0.018197546;0.016642323;0.014229572;0.012362929;0.010669261;0.009609598;0.009149805;0.008209144;0.008054475;0.008054475;0.009922179;0.009922179;0.009585992;0.008295233;0.00768677;0.00829006;0.009209056;0.009085214;0.009359745;0.008933006;0.008273727;0.009066537;0.012086381;0.019768482;0.021484966;0.019200539;0.013178988;0.007081955;0.001851028;0.001050584;0.000757458;-0.000191958;-0.000684226;-0.000817121;-0.000120623;-0.0002133;-0.000672798;NA;NA;NA;NA;NA;NA;NA;NA
CRYPTO;Croomonas fragarioides;Croomonas;7;SmallEuk;SmallEuk;P2;NA;Station Marine d'Endoume (Marseilles);NA;5.57;100;Ahn 1992;7a;C;1848;Ahn_1992_Fig7a;NA;0;0;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.026918288;0.02823417;0.030933852;0.031011673;0.03185214;0.033735409;0.033735409;0.032544747;0.030466926;0.030046693;0.03;0.0287393;0.026217899;0.023717722;0.021561372;0.021081712;0.020241245;0.017825964;0.015992218;0.011733852;0.009716732;0.009489211;0.010389105;0.010389105;0.009128405;0.009378109;0.009816613;0.008964981;0.008054475;0.007634241;0.007374097;0.007133963;0.006326848;0.005540257;0.005719844;0.005719844;0.006667037;0.007027237;0.008054475;0.006709728;0.00726537;0.00903035;0.012135409;0.015175097;0.016720623;0.014481814;0.011412282;0.006691051;0.003652029;0.001490828;0.00060441;0.000178988;0.000474708;0.000894942;0.001050584;0.000742412;0.000199741;NA;NA;NA;NA;NA;NA;NA;NA
PRYMNE;Isochrysis galbana;Isochrysis;17;Brown;Prymne;P2;NA;Station Marine d'Endoume (Marseilles);NA;4.45;100;Ahn 1992;7a;I;1848;Ahn_1992_Fig7a;NA;0;0;I;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.015992218;0.016264591;0.01831751;0.017859922;0.017939967;0.019020567;0.017876901;0.018318728;0.017880223;0.017441719;0.017189247;0.016960028;0.016319066;0.015058366;0.014638132;0.013694942;0.011136187;0.010155642;0.008054475;0.007634241;0.00718005;0.005775875;0.006948219;0.005396588;0.004490272;0.003872892;0.00385214;0.00385214;0.003385214;0.003400778;0.003610895;0.003821012;0.00418258;0.004319066;0.004457114;0.004676366;0.00493431;0.005230945;0.00618677;0.006546971;0.004287938;0.005607782;0.007551631;0.008884565;0.010894942;0.010319066;0.007762646;0.00465669;0.00249381;0.001653343;0.001363221;0.001143969;0.001050584;0.001050584;0.000396887;0.000373541;NA;NA;NA;NA;NA;NA;NA;NA;NA
DINOS;Prorocentrum micans;Prorocentrum;28;Dinos;Dinos;P4;NA;Station Marine d'Endoume (Marseilles);NA;27.64;100;Ahn 1992;7a;P;1848;Ahn_1992_Fig7a;NA;0;0;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.020686947;0.021211414;0.023252918;0.024513619;0.025673152;0.026612664;0.026264591;0.026264591;0.026264591;0.025848603;0.025390166;0.023299611;0.022006226;0.019188866;0.01841305;0.017878599;0.015774319;0.014099045;0.012723735;0.011883268;0.010669261;0.008820233;0.009237354;0.008093385;0.008513619;0.009346304;0.008258224;0.008412451;0.009416342;0.008996109;0.009194553;0.009404669;0.008950973;0.008614786;0.008157198;0.008784577;0.009166608;0.009395826;0.009040208;0.008988327;0.008258224;0.008544747;0.012357977;0.017821012;0.022140078;0.019382101;0.011439689;0.005212896;0.003051695;0.00208716;0.000980545;0.00075642;0.00100856;0.000477538;-0.000210117;-0.000350195;4.20E-05;NA;NA;NA;NA;NA;NA;NA;NA
CHLORO;Dunaliella bioculata;Dunaliella;11;Chloro;Chloro1;P2;NA;Station Marine d'Endoume (Marseilles);NA;6.71;100;Ahn 1992;7a;D;1848;Ahn_1992_Fig7a;NA;0;0;D;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.011561538;0.012813462;0.013836923;0.014259615;0.015252071;0.015637278;0.01587893;0.016096656;0.016153846;0.015243357;0.014681119;0.01341;0.013558974;0.012115385;0.012500592;0.012885799;0.012100699;0.01119021;0.009200669;0.008982943;0.00875;0.007706731;0.006663462;0.006461538;0.006053846;0.005206993;0.004606154;0.004272308;0.005147929;0.004274556;0.005815385;0.006;0.005130769;0.005525641;0.005480769;0.007311538;0.006476923;0.006871154;0.006881119;0.006;0.006184615;0.007861538;0.010712821;0.011076923;0.011076923;0.011953846;0.008693706;0.005976923;0.004307692;0.00279;0.001946154;0.001846154;0.001772308;0.001438462;0.001384615;0.001802308;NA;NA;NA;NA;NA;NA;NA;NA;NA
HAPTO 6;Hymenomonas elongata;Hymenomonas;20;Brown;Prymne;P2;NA;Station Marine d'Endoume (Marseilles);NA;11.77;100;Ahn 1992;7a;H;1848;Ahn_1992_Fig7a;NA;0;0;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.012659341;0.014447802;0.016001538;0.017503846;0.016648951;0.017821154;0.01760979;0.017538462;0.016153846;0.015601775;0.014446154;0.014748462;0.0144;0.014307692;0.013832308;0.012421678;0.011765035;0.008644231;0.006557692;0.006461538;0.00419645;0.004581657;0.0042;0.004153846;0.003667133;0.003230769;0.003230769;0.003279021;0.003734266;0.004153846;0.004228402;0.005384024;0.005176923;0.005076923;0.005496923;0.005921154;0.005774359;0.00581044;0.007598901;0.005688462;0.005123077;0.007626923;0.01227033;0.011966346;0.011757692;0.011549038;0.009377622;0.007101399;0.004615385;0.002304142;0.001846154;0.001846154;0.003029371;0.002066434;0.001387692;0.001721538;0.001148718;NA;NA;NA;NA;NA;NA;NA;NA
HAPTO 6;Hymenomonas elongata;Hymenomonas;20;Brown;Prymne;P2;NA;Station Marine de Villefranche-sur-Mer;NA;11.5;321;Bricaud 1983;6a;solid line;825;Bricaud_1983_Fig6a;normalized by Chla+Pheo;0;1;Hym;NA;NA;NA;NA;NA;NA;NA;0.029853752;0.028981207;0.028107484;0.027893175;0.028531982;0.028827344;0.029315035;0.02914606;0.029688427;0.030637982;0.031441642;0.031866856;0.032286157;0.032621167;0.033189461;0.033234421;0.032087661;0.03115727;0.030316518;0.029003187;0.027933358;0.026755687;0.026904055;0.025780698;0.025551081;0.02331279;0.019850871;0.017665678;0.016165513;0.014589515;0.012982196;0.011684514;0.010706145;0.009970326;0.009454821;0.008698435;0.00817165;0.007917258;0.007777491;0.008382789;0.008563494;0.008316214;0.008308605;0.009215298;0.009751072;0.009792285;0.009549126;0.008466864;0.009233052;0.009480332;0.011745796;0.013353116;0.015953087;0.018331685;0.016988131;0.014104847;0.007962413;0.006474238;0.005534125;0.005229433;0.005089666;0.004846686;0.004747774;0.004154303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
